city,year,export_growth
서울특별시,2014,0.033374229
부산광역시,2014,0.108497323
대구광역시,2014,0.113377068
인천광역시,2014,0.099494283
광주광역시,2014,0.024577767
대전광역시,2014,0.174193548
울산광역시,2014,0.009692612
세종특별자치시,2014,0.128318584
경기도,2014,0.094465958
강원특별자치도,2014,-0.047399908
충청북도,2014,0.033563888
충청남도,2014,0.012911857
전북특별자치도,2014,-0.154211151
전라남도,2014,-0.055311338
경상북도,2014,-0.042574165
경상남도,2014,-0.013825951
제주특별자치도,2014,0.029126214
서울특별시,2015,-0.03298625
부산광역시,2015,0.059651748
대구광역시,2015,-0.091840656
인천광역시,2015,0.03982935
광주광역시,2015,-0.058617296
대전광역시,2015,-0.089814032
울산광역시,2015,-0.210963203
세종특별자치시,2015,-0.089215686
경기도,2015,-0.051352102
강원특별자치도,2015,-0.091304348
충청북도,2015,0.071428571
충청남도,2015,0.030885244
전북특별자치도,2015,-0.070593735
전라남도,2015,-0.220341583
경상북도,2015,-0.155761908
경상남도,2015,-0.080599116
제주특별자치도,2015,0.141509434
서울특별시,2016,-0.113566605
부산광역시,2016,-0.096604403
대구광역시,2016,-0.024682652
인천광역시,2016,0.148118469
광주광역시,2016,-0.039594904
대전광역시,2016,-0.033433945
울산광역시,2016,-0.104900764
세종특별자치시,2016,0.08934338
경기도,2016,-0.073809344
강원특별자치도,2016,-0.117490696
충청북도,2016,0.052202498
충청남도,2016,-0.013586997
전북특별자치도,2016,-0.20887827
전라남도,2016,-0.085721781
경상북도,2016,-0.113672972
경상남도,2016,-0.037133135
제주특별자치도,2016,0.066115702
서울특별시,2017,0.074081006
부산광역시,2017,0.070342475
대구광역시,2017,0.043094722
인천광역시,2017,0.096820123
광주광역시,2017,0.017144023
대전광역시,2017,0.069901513
울산광역시,2017,0.022081245
세종특별자치시,2017,0.011857708
경기도,2017,0.265447391
강원특별자치도,2017,0.074096386
충청북도,2017,0.249750062
충청남도,2017,0.205872136
전북특별자치도,2017,0.00286123
전라남도,2017,0.11384505
경상북도,2017,0.164909912
경상남도,2017,0.313645801
제주특별자치도,2017,0.201550388
서울특별시,2018,0.126023769
부산광역시,2018,-0.043613914
대구광역시,2018,0.123388327
인천광역시,2018,0.038027846
광주광역시,2018,-0.01919604
대전광역시,2018,0.013695555
울산광역시,2018,0.05137931
세종특별자치시,2018,0.200195313
경기도,2018,0.1547503
강원특별자치도,2018,0.176107684
충청북도,2018,0.16159192
충청남도,2018,0.151874953
전북특별자치도,2018,0.240767158
전라남도,2018,0.179300573
경상북도,2018,-0.088678404
경상남도,2018,-0.323115983
제주특별자치도,2018,0.174193548
서울특별시,2019,-0.112027608
부산광역시,2019,-0.03352537
대구광역시,2019,-0.075527582
인천광역시,2019,-0.067752139
광주광역시,2019,-0.085174577
대전광역시,2019,-0.103433001
울산광역시,2019,-0.008513126
세종특별자치시,2019,0.0455655
경기도,2019,-0.185938132
강원특별자치도,2019,-0.004291845
충청북도,2019,-0.049627685
충청남도,2019,-0.130665014
전북특별자치도,2019,-0.164920797
전라남도,2019,-0.110179673
경상북도,2019,-0.077743269
경상남도,2019,-0.022455722
제주특별자치도,2019,-0.181318681
서울특별시,2020,-0.070531031
부산광역시,2020,-0.187015226
대구광역시,2020,-0.163663062
인천광역시,2020,-0.008338156
광주광역시,2020,0.026612001
대전광역시,2020,0.239624506
울산광역시,2020,-0.193283475
세종특별자치시,2020,0.011673152
경기도,2020,-0.013103543
강원특별자치도,2020,-0.031130268
충청북도,2020,0.126358696
충청남도,2020,-0.004740403
전북특별자치도,2020,-0.106317883
전라남도,2020,-0.168625526
경상북도,2020,-0.016334323
경상남도,2020,-0.087922141
제주특별자치도,2020,0.040268456
서울특별시,2021,0.285119628
부산광역시,2021,0.308833922
대구광역시,2021,0.266400638
인천광역시,2021,0.218747513
광주광역시,2021,0.20556201
대전광역시,2021,-0.012953368
울산광역시,2021,0.324080512
세종특별자치시,2021,0.178461538
경기도,2021,0.196905095
강원특별자치도,2021,0.349480969
충청북도,2021,0.156614395
충청남도,2021,0.308500478
전북특별자치도,2021,0.338411503
전라남도,2021,0.579543777
경상북도,2021,0.192985767
경상남도,2021,0.149778508
제주특별자치도,2021,0.458064516
서울특별시,2022,-0.023811608
부산광역시,2022,0.092737581
대구광역시,2022,0.341189816
인천광역시,2022,0.181117785
광주광역시,2022,0.080888996
대전광역시,2022,-0.054310519
울산광역시,2022,0.213063324
세종특별자치시,2022,0.057441253
경기도,2022,-0.002996401
강원특별자치도,2022,0.006959707
충청북도,2022,0.12675126
충청남도,2022,0.032414522
전북특별자치도,2022,0.051157437
전라남도,2022,0.155212301
경상북도,2022,0.059292735
경상남도,2022,-0.11720662
제주특별자치도,2022,-0.137168142
서울특별시,2023,-0.008429737
부산광역시,2023,-0.066646078
대구광역시,2023,0.035241049
인천광역시,2023,-0.008641975
광주광역시,2023,-0.012816226
대전광역시,2023,-0.086678053
울산광역시,2023,-0.030279822
세종특별자치시,2023,-0.230246914
경기도,2023,-0.055865637
강원특별자치도,2023,-0.014914514
충청북도,2023,-0.140600413
충청남도,2023,-0.261426113
전북특별자치도,2023,-0.142109746
전라남도,2023,-0.081420047
경상북도,2023,-0.124170737
경상남도,2023,0.151185771
제주특별자치도,2023,-0.005128205
