city,year,OPE,GOV,ln_HUM,INF,INT,IS,URB,ln_CAP
강원도,2014,-0.047399908,0.233162572,6.789513477,1.92047,0.675482797,0.670411584,0.8118,15.46682218
강원도,2015,-0.091304348,0.241278729,6.765583453,1.91931,0.69729614,0.661785778,0.8184,15.5350593
강원도,2016,-0.117490696,0.238654275,6.74104994,1.93075,0.704054987,0.662202565,0.8104,15.80061837
강원도,2017,0.074096386,0.231450054,6.714183707,1.96,0.789360669,0.660308391,0.8141,15.99192724
강원도,2018,0.176107684,0.239766385,6.686515042,1.95,0.801248693,0.67800674,0.8145,16.03693813
강원도,2019,-0.004291845,0.252534776,6.667300114,1.95,0.809959944,0.680668503,0.8161,16.10962543
강원도,2020,-0.031130268,0.279951715,6.611844621,1.9,0.772350741,0.67157879,0.8275,16.06353146
강원도,2021,0.349480969,0.282939245,6.554917193,1.9,0.785409634,0.683661693,0.8294,16.1232657
강원도,2022,0.006959707,0.295036645,6.506664105,1.9,0.80155687,0.690902997,0.8294,16.20827817
강원도,2023,-0.014914514,0.292642765,6.475544095,1.94,0.881201528,0.68601653,0.8333,16.16513566
경기도,2014,0.094465958,0.083840245,5.939790527,1.14534,0.791817716,0.504213915,0.9313,20.01040524
경기도,2015,-0.051352102,0.08406565,5.901091173,1.14666,0.803504673,0.494998507,0.9333,20.0721249
경기도,2016,-0.073809344,0.083450495,5.864633845,1.16056,0.823408796,0.489884078,0.9323,20.15848992
경기도,2017,0.265447391,0.083630854,5.832573956,1.19,0.848702839,0.472787824,0.9303,20.28899206
경기도,2018,0.1547503,0.090499275,5.796544833,1.21,0.857502244,0.473329047,0.9286,20.41598258
경기도,2019,-0.185938132,0.099825471,5.769378992,1.21,0.861213841,0.493367474,0.9231,20.49432906
경기도,2020,-0.013103543,0.10648716,5.748772878,1.3,0.880630177,0.49326245,0.922,20.58055514
경기도,2021,0.196905095,0.104721472,5.701297533,1.3,0.899405724,0.494108106,0.9207,20.78800988
경기도,2022,-0.002996401,0.116448951,5.663116646,1.3,0.894698989,0.505036995,0.9198,20.88378058
경기도,2023,-0.055865637,0.11912389,5.744736357,1.36,0.899373597,0.524707194,0.9187,20.92550786
경상남도,2014,-0.013825951,0.140382336,5.930092407,2.0596,0.770120492,0.42961547,0.8444,18.56851949
경상남도,2015,-0.080599116,0.140806897,5.905389035,2.07621,0.796920701,0.433566554,0.8482,18.61516643
경상남도,2016,-0.037133135,0.140060518,5.870668163,2.10156,0.843152261,0.435613911,0.8548,18.59702357
경상남도,2017,0.313645801,0.146327987,5.839449938,2.11,0.860646961,0.44759071,0.8559,18.57893516
경상남도,2018,-0.323115983,0.155791623,5.813379006,2.12,0.86332596,0.456739014,0.858,18.64232224
경상남도,2019,-0.022455722,0.169316148,5.784612564,2.15,0.843638656,0.466505623,0.8632,18.66961807
경상남도,2020,-0.087922141,0.197706742,5.754854172,2.2,0.865161829,0.477495844,0.8657,18.73908198
경상남도,2021,0.149778508,0.204367845,5.709589411,2.2,0.923214219,0.492800079,0.8653,18.80065137
경상남도,2022,-0.11720662,0.208281012,5.645436469,2.2,0.908417274,0.488789851,0.8712,18.9071233
경상남도,2023,0.151185771,0.206087037,5.619576508,2.23,0.915140684,0.472400276,0.8746,18.96989516
경상북도,2014,-0.042574165,0.143393583,6.701088608,1.72281,0.819326501,0.308099531,0.7675,16.2332104
경상북도,2015,-0.155761908,0.149986555,6.679013711,1.79555,0.810872374,0.327778693,0.7738,16.23854674
경상북도,2016,-0.113672972,0.155995325,6.644781398,1.83921,0.811483896,0.341703161,0.7787,16.26423854
경상북도,2017,0.164909912,0.157142898,6.608945625,1.86,0.848430095,0.346092839,0.7814,16.30547462
경상북도,2018,-0.088678404,0.168208291,6.573853443,1.87,0.884848928,0.365483702,0.7829,16.36012018
경상북도,2019,-0.077743269,0.184361177,6.54478898,1.88,0.904567073,0.389669035,0.7855,16.52177908
경상북도,2020,-0.016334323,0.206542528,6.539506195,1.9,0.906797489,0.397429128,0.7804,16.64931446
경상북도,2021,0.192985767,0.210001053,6.501477953,1.9,0.888072602,0.398387455,0.7817,16.76461545
경상북도,2022,0.059292735,0.221873363,6.470120465,2,0.915505916,0.415468582,0.7888,16.93734277
경상북도,2023,-0.124170737,0.230528966,6.446391809,1.96,0.934251792,0.420158926,0.7994,17.13122588
광주광역시,2014,0.024577767,0.125303163,6.669248983,2.09411,0.872769849,0.608471895,0.9989,17.03332066
광주광역시,2015,-0.058617296,0.129405678,6.65787371,2.13273,0.890884135,0.609447228,0.9989,17.15997657
광주광역시,2016,-0.039594904,0.124818546,6.637285102,2.14889,0.903881048,0.61761259,1,17.26364083
광주광역시,2017,0.017144023,0.12389524,6.625153937,2.16,0.925895374,0.620501164,1,17.27512624
광주광역시,2018,-0.01919604,0.134251666,6.619035212,2.17,0.932428612,0.627583542,1,17.25835866
광주광역시,2019,-0.085174577,0.144308375,6.602655773,2.18,0.901848485,0.63283232,1,17.2855581
광주광역시,2020,0.026612001,0.155109714,6.600593352,2.2,0.915464002,0.619272476,1,17.37091685
광주광역시,2021,0.20556201,0.162828611,6.567624505,2.2,0.946979409,0.629214655,1,17.45083787
광주광역시,2022,0.080888996,0.181458818,6.544612397,2.2,0.975917063,0.628559387,1,17.48988135
광주광역시,2023,-0.012816226,0.17780314,6.480363642,2.25,0.95875286,0.632350989,1,17.4618156
대구광역시,2014,0.113377068,0.135518612,6.235991383,1.79622,0.881091553,0.665611511,0.9998,18.39264448
대구광역시,2015,-0.091840656,0.13602601,6.219041428,1.86974,0.867552119,0.652844459,1,18.44816518
대구광역시,2016,-0.024682652,0.144874474,6.198416712,1.89109,0.872941598,0.649847523,0.9993,18.45202359
대구광역시,2017,0.043094722,0.146358157,6.179778227,1.91,0.901396785,0.659104492,0.9979,18.46897707
대구광역시,2018,0.123388327,0.154990126,6.162463857,1.94,0.916538745,0.668776556,0.9979,18.57586278
대구광역시,2019,-0.075527582,0.165346056,6.153754237,1.97,0.947645714,0.674424399,0.998,18.64652561
대구광역시,2020,-0.163663062,0.182417529,6.151342064,2,0.93984655,0.673736175,0.998,18.68737731
대구광역시,2021,0.266400638,0.18305344,6.121260642,2.1,0.91725171,0.668788208,0.9979,18.80877526
대구광역시,2022,0.341189816,0.188492557,6.091347243,2.1,0.930112453,0.659479613,0.998,18.98228737
대구광역시,2023,0.035241049,0.193910208,6.046482318,1.8,0.943833008,0.664320514,0.9904,18.97714875
대전광역시,2014,0.174193548,0.114930525,6.881236891,2.27553,0.816818711,0.705132867,0.9999,16.94200277
대전광역시,2015,-0.089814032,0.112024668,6.887740538,2.29494,0.828561397,0.696035338,0.9971,17.05248501
대전광역시,2016,-0.033433945,0.112142304,6.872225657,2.34142,0.881543419,0.690107797,0.9971,17.09129029
대전광역시,2017,0.069901513,0.117360226,6.848656234,2.37,0.901518631,0.697307071,0.9971,17.10803512
대전광역시,2018,0.013695555,0.132378122,6.842542844,2.39,0.929634247,0.709146685,0.9965,17.16065532
대전광역시,2019,-0.103433001,0.137889492,6.833736533,2.4,0.934417418,0.703241527,1,17.30269866
대전광역시,2020,0.239624506,0.150871746,6.811775632,2.4,0.938696374,0.696316256,1,17.40887272
대전광역시,2021,-0.012953368,0.154518462,6.77012472,2.5,0.917291974,0.699695624,1,17.56923724
대전광역시,2022,-0.054310519,0.16942453,6.73854333,2.5,0.92659133,0.713296695,1,17.68306082
대전광역시,2023,-0.086678053,0.164993977,6.71289916,2.54,0.949781659,0.715302055,1,17.70853634
부산광역시,2014,0.108497323,0.119993728,6.64333731,1.99101,0.786459627,0.673970605,1,18.48668947
부산광역시,2015,0.059651748,0.122688396,6.615600396,2.01014,0.814376169,0.669680016,1,18.54557788
부산광역시,2016,-0.096604403,0.128985453,6.591716032,2.02902,0.86582967,0.658786443,1,18.57949629
부산광역시,2017,0.070342475,0.131413891,6.56756795,2.05,0.889127252,0.680318569,1,18.58109036
부산광역시,2018,-0.043613914,0.138436624,6.554430126,2.07,0.889520063,0.682034986,1,18.61487444
부산광역시,2019,-0.03352537,0.14387074,6.535106486,2.09,0.870314487,0.689551884,1,18.6664481
부산광역시,2020,-0.187015226,0.162052253,6.509837136,2.1,0.891031811,0.690853199,1,18.74807999
부산광역시,2021,0.308833922,0.159915435,6.474586316,2.1,0.923998611,0.705857036,1,18.85911822
부산광역시,2022,0.092737581,0.162890138,6.432545152,2.4,0.923009486,0.717352753,1,18.92692187
부산광역시,2023,-0.066646078,0.175961144,6.383139863,2.38,0.913553916,0.708411841,1,18.9874442
서울특별시,2014,0.033374229,0.071750739,6.319335699,3.33325,0.810060723,0.835071257,1,22.08363548
서울특별시,2015,-0.03298625,0.073577287,6.311443417,3.34577,0.808768417,0.83379777,1,22.19053452
서울특별시,2016,-0.113566605,0.074305116,6.312528562,3.37177,0.825063992,0.83171521,1,22.26810717
서울특별시,2017,0.074081006,0.076029221,6.316132464,3.39,0.854257742,0.828206451,1,22.34363094
서울특별시,2018,0.126023769,0.07922746,6.324672643,3.4,0.864312405,0.829698108,1,22.41303372
서울특별시,2019,-0.112027608,0.084216107,6.33213042,3.42,0.872641578,0.837079845,1,22.53861064
서울특별시,2020,-0.070531031,0.092325658,6.343788386,3.4,0.882446004,0.828963045,1,22.63088653
서울특별시,2021,0.285119628,0.089994684,6.355120797,3.5,0.899853708,0.832168115,1,22.72860466
서울특별시,2022,-0.023811608,0.096985718,6.34765927,3.5,0.883460118,0.851604984,1,22.7932136
서울특별시,2023,-0.008429737,0.100324103,6.264534002,3.51,0.890982372,0.854828297,1,22.78305818
세종특별자치시,2014,0.128318584,0.060031859,7.383329035,1.40221,0.591775579,0.456610747,0.8335,13.98680317
세종특별자치시,2015,-0.089215686,0.069793033,7.057612989,1.28064,0.723069172,0.49717765,0.8335,14.19677449
세종특별자치시,2016,0.08934338,0.072975709,6.890083342,1.20198,0.810395757,0.521993237,0.8574,14.59673974
세종특별자치시,2017,0.011857708,0.082420371,6.720209439,1.11,0.861993139,0.532394054,0.8696,14.62528896
세종특별자치시,2018,0.200195313,0.091044312,6.587584913,1.05,0.924573599,0.565434158,0.8886,15.19356656
세종특별자치시,2019,0.0455655,0.086364639,6.486968716,1.01,0.898130099,0.592763286,0.909,15.33679105
세종특별자치시,2020,0.011673152,0.085720863,6.437809835,1,0.930987761,0.595179161,0.91,15.43971939
세종특별자치시,2021,0.178461538,0.088532528,6.35953593,1,0.838687931,0.618477522,0.91,15.49187758
세종특별자치시,2022,0.057441253,0.098414963,6.303446769,1,0.858772983,0.62496091,0.91,15.61086651
세종특별자치시,2023,-0.230246914,0.095453163,6.283854988,1,0.930384312,0.634320991,0.91,15.69459501
울산광역시,2014,0.009692612,0.046907452,5.703534736,1.59635,0.84796798,0.229540759,0.9983,16.75702918
울산광역시,2015,-0.210963203,0.048719178,5.687860724,1.85179,0.885208762,0.241580443,0.9982,16.78552425
울산광역시,2016,-0.104900764,0.054196242,5.665920363,1.87238,0.89984537,0.238813517,0.9982,16.77637873
울산광역시,2017,0.022081245,0.059413511,5.642230361,1.9,0.926078211,0.234276453,0.9982,16.78963036
울산광역시,2018,0.05137931,0.064774493,5.625158808,1.93,0.92036151,0.242935014,0.9982,16.57355747
울산광역시,2019,-0.008513126,0.069350469,5.620346774,1.98,0.89518849,0.252219531,0.9981,16.76519324
울산광역시,2020,-0.193283475,0.080969261,5.6276695,2.2,0.929889133,0.281286627,0.9981,16.76521591
울산광역시,2021,0.324080512,0.071983086,5.612047763,2.3,0.954832975,0.263747653,0.9982,17.42299681
울산광역시,2022,0.213063324,0.074454636,5.586703771,2.4,0.947706108,0.270425525,0.9982,17.55894743
울산광역시,2023,-0.030279822,0.075277491,5.560978216,2.38,0.934993138,0.254468462,0.9983,17.63709572
인천광역시,2014,0.099494283,0.113126746,5.508020108,1.5932,0.770470981,0.563388812,0.9789,17.84143202
인천광역시,2015,0.03982935,0.104322138,5.479190797,1.61532,0.805434184,0.563658473,0.9749,17.91711747
인천광역시,2016,0.148118469,0.111028882,5.452072826,1.66362,0.831398068,0.557961286,0.9735,17.92246242
인천광역시,2017,0.096820123,0.113432353,5.42208088,1.8,0.841542301,0.550040349,0.9754,17.97495485
인천광역시,2018,0.038027846,0.120620113,5.42246921,1.85,0.868483192,0.568537673,0.9774,18.01105169
인천광역시,2019,-0.067752139,0.131707617,5.413472019,1.97,0.884697214,0.585133357,0.9775,18.05858561
인천광역시,2020,-0.008338156,0.146847682,5.407564719,2,0.881920334,0.569989471,0.9772,18.19285109
인천광역시,2021,0.218747513,0.141815383,5.386360142,1.9,0.904224213,0.566732334,0.9772,18.18545823
인천광역시,2022,0.181117785,0.143012662,5.349526588,1.9,0.896957485,0.579912341,0.9772,18.30585051
인천광역시,2023,-0.008641975,0.149482835,5.49702717,1.9,0.886491993,0.571827,0.9777,18.38014945
전라남도,2014,-0.055311338,0.184193916,6.067296663,2.18448,0.647351598,0.374375361,0.7061,18.93045708
전라남도,2015,-0.220341583,0.188751948,6.038293535,2.18547,0.667160936,0.387371455,0.7128,18.99767475
전라남도,2016,-0.085721781,0.184663613,6.013694218,2.18794,0.719649691,0.384811535,0.7146,19.01866839
전라남도,2017,0.11384505,0.187699339,5.975254669,2.19,0.760513476,0.391611006,0.7186,19.04164924
전라남도,2018,0.179300573,0.201676935,5.960961412,2.21,0.781310347,0.412132102,0.7166,19.05763657
전라남도,2019,-0.110179673,0.218220178,5.938212238,2.21,0.769156812,0.434736377,0.7161,19.12173066
전라남도,2020,-0.168625526,0.239381376,5.912084499,2.2,0.793863478,0.440731532,0.7155,19.1505279
전라남도,2021,0.579543777,0.223813908,5.858422152,2.3,0.801411342,0.423173715,0.7232,19.19308095
전라남도,2022,0.155212301,0.239307887,5.807064551,2.3,0.804121324,0.436344055,0.7337,19.29968469
전라남도,2023,-0.081420047,0.247483226,5.727073763,2.3,0.846585627,0.43421237,0.7499,19.32177912
전라북도,2014,-0.154211151,0.225537749,6.532820897,2.10351,0.699128883,0.514120282,0.7969,17.7952542
전라북도,2015,-0.070593735,0.229372054,6.52983846,2.12889,0.724719857,0.51860825,0.7954,17.87684963
전라북도,2016,-0.20887827,0.228633084,6.507755332,2.16598,0.79540788,0.533015736,0.8012,18.01300575
전라북도,2017,0.00286123,0.231811015,6.486673926,2.2,0.849619928,0.535342107,0.7991,18.16381526
전라북도,2018,0.240767158,0.249320029,6.471475722,2.21,0.862872348,0.545407903,0.8024,18.15474046
전라북도,2019,-0.164920797,0.269133247,6.458930322,2.23,0.812098979,0.555820788,0.8121,18.18152555
전라북도,2020,-0.106317883,0.289374994,6.455618833,2.2,0.841782028,0.555091522,0.8142,18.30199774
전라북도,2021,0.338411503,0.305222095,6.434823064,2.2,0.865073801,0.556419864,0.8169,18.37146478
전라북도,2022,0.051157437,0.314643929,6.395498171,2.3,0.901610819,0.570205742,0.8215,18.45993437
전라북도,2023,-0.142109746,0.321673606,6.339003312,2.27,0.908649271,0.576754302,0.8199,18.50527833
제주특별자치도,2014,0.029126214,0.167260981,6.187256496,3.00689,0.730431985,0.716915904,0.9063,15.69608348
제주특별자치도,2015,0.141509434,0.172527644,6.164877295,2.98469,0.764007453,0.709790264,0.9064,15.90085652
제주특별자치도,2016,0.066115702,0.167818343,6.130708843,2.948,0.753187435,0.687970989,0.9081,16.28248887
제주특별자치도,2017,0.201550388,0.171263024,6.096040987,2.91,0.788188081,0.667541316,0.907,16.40787599
제주특별자치도,2018,0.174193548,0.189796042,6.073737211,2.89,0.812101175,0.703339628,0.9066,16.57105648
제주특별자치도,2019,-0.181318681,0.201802652,6.052969542,2.88,0.818193171,0.724196197,0.9066,16.66131132
제주특별자치도,2020,0.040268456,0.229607521,6.022163484,2.9,0.840049428,0.715252286,0.9067,16.86049724
