city,year,ln_GRDP,ln_fintech_lag1,ln_fintech_lag2,ln_patent_lead1,INT,GOV,OPE,PC1,PC2,fintech,fintech_sq,year_trend,fintech_national,ln_CAP,IS
강원도,2014,10.15331198,2.197224577,1.945910149,2.708050201,0.675482797,0.233162572,-0.047399908,-1.018175951,1.693134784,2.197224577,4.827795842,0,2.90173979,15.46682218,0.670411584
강원도,2015,10.20159014,1.945910149,2.197224577,3.17805383,0.69729614,0.241278729,-0.091304348,-0.985984085,1.6098638,1.945910149,3.786566308,1,2.92291053,15.5350593,0.661785778
강원도,2016,10.25160599,2.708050201,1.945910149,3.465735903,0.704054987,0.238654275,-0.117490696,-0.928067091,1.522770694,2.708050201,7.333535891,2,3.270522391,15.80061837,0.662202565
강원도,2017,10.30644953,3.17805383,2.708050201,3.091042453,0.789360669,0.231450054,0.074096386,-0.825051855,1.443039394,3.17805383,10.10002615,3,3.727401213,15.99192724,0.660308391
강원도,2018,10.3370865,3.465735903,3.17805383,3.80666249,0.801248693,0.239766385,0.176107684,-0.750071015,1.426766935,3.465735903,12.01132535,4,3.682020481,16.03693813,0.67800674
강원도,2019,10.37947325,3.091042453,3.465735903,3.555348061,0.809959944,0.252534776,-0.004291845,-0.705079312,1.384095522,3.091042453,9.554543446,5,3.843291051,16.10962543,0.680668503
강원도,2020,10.37430335,3.80666249,3.091042453,3.258096538,0.772350741,0.279951715,-0.031130268,-0.713474219,1.240164371,3.80666249,14.49067931,6,4.015692195,16.06353146,0.67157879
강원도,2021,10.42462978,3.555348061,3.80666249,3.135494216,0.785409634,0.282939245,0.349480969,-0.624010852,1.155403447,3.555348061,12.64049983,7,4.157306352,16.1232657,0.683661693
강원도,2022,10.44656737,3.258096538,3.555348061,4.644390899,0.80155687,0.295036645,0.006959707,-0.556066135,1.069440777,3.258096538,10.61519305,8,3.946254575,16.20827817,0.690902997
강원도,2023,10.61422904,3.135494216,3.258096538,3.931825633,0.881201528,0.292642765,-0.014914514,-0.516318318,1.022516322,3.135494216,9.831323979,9,3.531455313,16.16513566,0.68601653
