fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,city,naics,sic,at,capx,dpact,ppegt,ppent,sale
KOR,A,HIST_STD,FS,C,025249,2012-03-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,10980848.9930,,168362.4820,466969.9280,298607.4460,
KOR,A,HIST_STD,FS,C,025249,2013-03-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,12586148.5330,,178797.4600,594288.2950,415490.8350,
KOR,A,HIST_STD,FS,C,025249,2013-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,13824076.6150,,186665.4550,567509.2830,380843.8280,
KOR,A,HIST_STD,FS,C,025249,2014-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,18221745.4000,,183630.3530,551192.1850,367561.8320,
KOR,A,HIST_STD,FS,C,025249,2015-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,18685970.2980,,194000.9080,583204.3870,389203.4790,
KOR,A,HIST_STD,FS,C,025249,2016-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,17692580.6200,,172753.8740,449061.0450,276307.1710,
KOR,A,HIST_STD,FS,C,025249,2017-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,17446839.7130,,189964.1450,550298.5910,360334.4460,
KOR,A,HIST_STD,FS,C,025249,2018-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,19151314.2440,,204141.3400,541646.4870,337505.1470,
KOR,A,HIST_STD,FS,C,025249,2019-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,19437280.3870,,229731.8750,632576.1520,402844.2770,
KOR,A,HIST_STD,FS,C,025249,2020-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,21503846.6820,,248655.2740,607697.5060,359042.2320,
KOR,A,HIST_STD,FS,C,025249,2021-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,22763241.9090,,259062.1570,612110.4960,353048.3390,
KOR,A,HIST_STD,FS,C,025249,2022-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,21210735.4630,,215120.1170,562051.4600,346931.3430,
KOR,A,HIST_STD,FS,C,025249,2023-12-31,DAISHIN SECURITIES CO LTD,Seoul,523150,6211,22643488.7920,,225702.4150,822719.7310,597017.3160,
KOR,A,HIST_STD,FS,C,025251,2012-03-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,22984987.0000,,259438.0000,578699.0000,319261.0000,
KOR,A,HIST_STD,FS,C,025251,2013-03-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,27228084.0000,,183993.0000,488547.0000,304554.0000,
KOR,A,HIST_STD,FS,C,025251,2013-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,29985901.0000,,188400.0000,486885.0000,298485.0000,
KOR,A,HIST_STD,FS,C,025251,2014-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,41059175.0000,,194013.0000,481479.0000,287466.0000,
KOR,A,HIST_STD,FS,C,025251,2015-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,41706316.0000,,204082.0000,497893.0000,293811.0000,
KOR,A,HIST_STD,FS,C,025251,2016-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,42970595.0000,,213830.0000,521335.0000,307505.0000,
KOR,A,HIST_STD,FS,C,025251,2017-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,43892739.0000,,223770.0000,524119.0000,300349.0000,
KOR,A,HIST_STD,FS,C,025251,2018-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,53422572.0000,,241014.0000,537802.0000,296788.0000,
KOR,A,HIST_STD,FS,C,025251,2019-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,50075052.0000,,239732.0000,408113.0000,168381.0000,
KOR,A,HIST_STD,FS,C,025251,2020-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,62738433.0000,,237264.0000,450693.0000,213429.0000,
KOR,A,HIST_STD,FS,C,025251,2021-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,58541999.0000,,234021.0000,443112.0000,209091.0000,
KOR,A,HIST_STD,FS,C,025251,2022-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,53428267.0000,,325451.0000,554273.0000,228822.0000,
KOR,A,HIST_STD,FS,C,025251,2023-12-31,NH INVESTMENT & SECURITIES,Seoul,523150,6211,56697893.0000,,379783.0000,655671.0000,275888.0000,
KOR,A,HIST_STD,FS,C,025256,2012-03-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,22463394.0000,,,257757.0000,257757.0000,
KOR,A,HIST_STD,FS,C,025256,2013-03-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,25437414.0000,,157774.0000,407377.0000,249603.0000,
KOR,A,HIST_STD,FS,C,025256,2013-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,26004956.0000,,,244628.0000,244628.0000,
KOR,A,HIST_STD,FS,C,025256,2014-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,30613292.0000,,185045.0000,434110.0000,249065.0000,
KOR,A,HIST_STD,FS,C,025256,2015-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,34841940.0000,,193820.0000,442329.0000,248509.0000,
KOR,A,HIST_STD,FS,C,025256,2016-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,57267775.9610,,166676.0000,514432.0160,347756.0160,
KOR,A,HIST_STD,FS,C,025256,2017-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,90626599.3020,,162090.0000,360666.4420,198576.4420,
KOR,A,HIST_STD,FS,C,025256,2018-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,118085499.4740,,148868.0000,381020.0460,232152.0460,
KOR,A,HIST_STD,FS,C,025256,2019-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,133149797.3260,,189568.0000,645845.7910,456277.7910,
KOR,A,HIST_STD,FS,C,025256,2020-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,130946929.9100,,240973.0000,652765.9870,411792.9870,
KOR,A,HIST_STD,FS,C,025256,2021-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,108641793.3140,,275379.0000,709912.6710,434533.6710,
KOR,A,HIST_STD,FS,C,025256,2022-12-31,MIRAE ASSET SECURITIES CO,Seoul,523150,6211,106213250.6940,,326711.0000,863435.2260,536724.2260,
